Users	2015-11-28T12:12:18.872Z	2015-11-29T23:37:19.706Z	2015-11-30T23:10:18.669Z	2015-12-01T10:29:49.270Z	2015-12-02T08:20:01.535Z	2015-12-03T08:20:01.465Z	2015-12-04T08:20:01.493Z	2015-12-05T08:20:01.369Z	2015-12-06T08:20:01.528Z	2015-12-07T08:20:01.875Z	2015-12-08T08:20:01.909Z	2015-12-09T08:20:01.468Z	2015-12-10T08:20:01.394Z	2015-12-11T08:20:01.262Z	2015-12-12T08:20:01.348Z	2015-12-13T08:20:01.883Z	2015-12-14T08:20:01.281Z	2015-12-15T08:20:01.581Z	2015-12-16T08:20:01.240Z	2015-12-17T08:20:01.714Z	2015-12-18T08:20:01.574Z	2015-12-19T08:20:02.835Z	2015-12-20T08:20:02.072Z	2015-12-21T08:20:01.544Z	2015-12-22T08:20:01.930Z	2015-12-23T08:20:02.117Z	2015-12-24T08:20:01.586Z	2015-12-25T08:20:02.108Z	2015-12-26T08:20:01.415Z	2015-12-27T08:20:02.337Z	2015-12-28T08:20:01.287Z	2015-12-29T08:20:02.735Z	2015-12-30T08:20:01.206Z	2015-12-31T08:20:02.328Z	2016-01-01T08:20:02.395Z	2016-01-02T08:20:02.001Z	2016-01-03T08:20:01.415Z	2016-01-04T08:20:01.912Z	2016-01-05T08:20:02.038Z	2016-01-06T08:20:02.201Z	2016-01-07T08:20:01.975Z	2016-01-08T08:20:01.365Z	2016-01-09T08:20:01.625Z	2016-01-10T08:20:02.505Z	2016-01-11T08:20:02.244Z	2016-01-12T08:20:02.736Z	2016-01-13T08:20:01.153Z	2016-01-14T08:20:02.422Z	2016-01-15T08:20:02.066Z	2016-01-16T08:20:01.687Z	2016-01-17T08:20:01.408Z	2016-01-18T08:20:01.166Z	2016-01-19T08:20:01.537Z	2016-01-20T08:20:01.871Z	2016-01-21T08:20:02.113Z	2016-01-22T08:20:01.279Z	2016-01-23T08:20:02.364Z	2016-01-24T08:20:01.690Z	2016-01-25T08:20:01.646Z
1disgr8m8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1st_panzer_division	7	9	12	12	12	13	14	20	23	23	23	23	23	23	27	40	40	40	40	40	43	43	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	54	54	56	61	61	61	61	61	61	61	61	61	61	61
aarohmankad	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
aashiamehta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abanana144p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	70	70	93	93	93	113	115	115	115	115	115	115	115	115	115	115
abenezer_mamo	67	67	67	67	67	78	78	78	78	78	78	78	78	78	78	78	78	78	78	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79	79
abhshkdz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	8	8	8	8	8
abrigante	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	9	11	12	12
ad510	346	346	346	346	346	346	346	346	346	346	346	346	346	346	346	346	346	346	365	365	365	365	365	365	365	365	365	365	365	365	365	365	365	365	365	365	378	384	384	384	384	384	384	384	384	384	384	384	403	554	573	578	616	637	660	670	676	680	681
aesthetichacker	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alec	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
alexaaronpena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	29	37	39	46	48	48	48	48	48	48	84	84	103	103	112	112	114	115	115	115	115	121	129	129	129	139	143	144	149	155	155	186	186	186	191	192
alexb	6401	6472	6604	6685	6915	6963	7251	7342	7446	7496	7632	7789	7870	7969	8075	8213	8372	8656	8726	8810	8880	8990	9060	9087	9170	9338	9615	9697	9798	9927	10059	10147	10209	10258	10342	10405	10406	10409	10434	10489	10557	10572	10684	10802	10915	11002	11134	11145	11156	11228	11253	11330	11483	11532	11573	11601	11677	11685	11694
alexwong	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
allison	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75
allyson	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alyssa.sun	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
amedina2016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
amir	84	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86
amirt01	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
amitsin6h	33	35	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51
